	sampling	sampling_strategy	param	value	mean_precision	mean_recall	mean_f1	mean_avg_precision	mean_interpolated_auc
42	UNDER	1.0	gamma	0.01	0.00454406234024759	0.7903333333333333	0.009035377206936219	0.0018413773835797142	0.0014591765269246428
43	UNDER	1.0	gamma	0.1	0.002215108156079137	0.9596666666666668	0.0044200041362777755	0.001001133961581118	0.0009467185200201522
44	UNDER	1.0	gamma	1.0	0.0016534102678980665	1.0	0.0033013608388743087	0.0014568437103466489	0.0012134973970433494
45	OVER	0.5	gamma	scale	0.004347385591912309	0.8956666666666667	0.008652758379224048	0.009944619254430343	0.00967527531714828
46	OVER	0.5	gamma	auto	0.004940782389615376	0.9436666666666668	0.009830060277379263	0.001000599797856288	0.0009189276380250765
47	OVER	0.5	gamma	0.01	0.0048753927252916775	0.9196666666666667	0.009699319740387739	0.0012971279395973803	0.0010823311889046365
48	OVER	0.5	gamma	0.1	0.0038932898402624346	0.952	0.007754852934115613	0.0009362204320929064	0.0008909019767058286
49	OVER	0.5	gamma	1.0	0.002090844138911742	0.9756666666666668	0.0041727443731694545	0.0009670732818748267	0.0008904066250048012
50	OVER	1.0	gamma	scale	0.00339933184096554	0.75	0.006767969562934578	0.06024460151035066	0.059470847370384404
51	OVER	1.0	gamma	auto	0.005089232473618462	0.9116666666666667	0.010121914858994583	0.0010400036185342462	0.0009488657184397217
52	OVER	1.0	gamma	0.01	0.005075650606966334	0.8709999999999999	0.010092405769357932	0.0013075987915153727	0.0011142808079510035
53	OVER	1.0	gamma	0.1	0.0035367034496591224	0.9356666666666665	0.0070467586772807195	0.0009466593710514039	0.0009008159933764105
54	OVER	1.0	gamma	1.0	0.0019039441684037307	0.9836666666666666	0.003800530131706164	0.000985897707953246	0.0009057569865642109
